reject_reason,windows,raw_profitable_windows,raw_losing_windows,avoided_loss_pct,missed_profit_pct,mean_raw_test_return_pct
decision_score,16,4,12,54.2539688300637,11.147044396867955,-2.6941827770747344
catastrophic_regime_risk,7,1,6,39.38576879601878,4.191366221855453,-5.027771796309048
