test_month,windows,raw_candidate_windows,gated_trade_windows,raw_return_pct,gated_return_pct,raw_win_rate,gated_win_rate,raw_worst_window_return_pct,gated_worst_window_return_pct
2026-01,1,1,1,-4.197525005726,-4.197525005726,0.0,0.0,-4.197525005726,-4.197525005726
2026-02,4,4,0,-15.059127284589058,0.0,0.25,0.0,-8.755605265106848,0.0
2026-03,4,4,0,-11.399382155044457,0.0,0.0,0.0,-7.460313314493627,0.0
2026-04,4,4,0,-12.971665254755782,0.0,0.25,0.0,-7.399158728182087,0.0
2026-05,5,5,0,-10.278933760194487,0.0,0.4,0.0,-10.224148901973162,0.0
2026-06,1,1,0,-2.612660171083514,0.0,0.0,0.0,-2.612660171083514,0.0
