window_id,split,segment,start_row,end_row,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
1,selection,1,78082,78386,305,10000.0,10520.547233143807,5.205472331438066,-4.836487085864116,1.0,0.04426229508196721,1.5,5,0,0,0
1,selection,2,78387,78691,305,10520.547233143807,10960.972240437985,4.186331732884274,-4.10374029809536,1.0,0.08852459016393442,1.5,9,0,0,0
1,selection,3,78692,78996,305,10960.972240437985,11126.33954434625,1.5086919324380776,-4.6642506963738395,1.0,0.08852459016393442,1.5,9,0,0,0
1,selection,4,78997,79301,305,11126.33954434625,11017.065015009859,-0.9821247041837622,-2.532127483608837,1.0,0.10819672131147541,1.5,11,0,0,0
1,selection,5,79302,79605,304,11017.065015009859,10965.76513694967,-0.46564014998818903,-3.7864392073984066,1.0,0.08881578947368421,1.5,9,0,0,0
2,selection,1,78284,78671,388,10000.0,10221.769551484664,2.2176955148466293,-3.618199924056198,1.0,0.05798969072164949,1.5,13,0,0,0
2,selection,2,78672,79059,388,10221.769551484664,10545.326755645576,3.1653736912305552,-3.865792247448818,1.0,0.05412371134020619,1.5,15,0,0,0
2,selection,3,79060,79446,387,10545.326755645576,10069.792313292279,-4.509432977965466,-7.298956726214101,1.0,0.046511627906976744,1.5,11,0,0,0
2,selection,4,79447,79833,387,10069.792313292279,10411.21024408279,3.3905161116365212,-2.567018362117257,1.0,0.041343669250646,1.5,13,0,0,0
2,selection,5,79834,80220,387,10411.21024408279,10663.448106846345,2.422752560461583,-9.407932278101928,1.0,0.05167958656330749,1.5,14,0,0,0
3,selection,1,78789,79198,410,10000.0,9928.057017277077,-0.7194298272292343,-2.84867825716838,1.0,0.03536585365853658,0.5,15,0,0,0
3,selection,2,79199,79608,410,9928.057017277077,9720.063686089801,-2.0950054056430134,-2.8661632338434884,1.0,0.03170731707317073,0.5,13,0,0,0
3,selection,3,79609,80017,409,9720.063686089801,10532.234009941973,8.355607021530664,-1.8568025556226386,1.0,0.02689486552567237,0.5,11,0,0,0
3,selection,4,80018,80426,409,10532.234009941973,10427.280688867251,-0.9964962891600204,-2.415062125003309,1.0,0.03178484107579462,0.5,13,0,0,0
3,selection,5,80427,80835,409,10427.280688867251,10048.048283493563,-3.636925260663393,-4.878276840073736,1.0,0.029339853300733496,0.5,12,0,0,0
4,selection,1,79404,79813,410,10000.0,10357.33126829784,3.5733126829784023,-3.8910985039278367,1.0,0.07682926829268293,1.5,11,0,0,0
4,selection,2,79814,80223,410,10357.33126829784,12931.030665393006,24.849059380507164,-9.151499874352432,1.0,0.08048780487804878,1.5,11,0,0,0
4,selection,3,80224,80632,409,12931.030665393006,12548.612685359152,-2.9573665853048325,-8.02118802301478,1.0,0.08801955990220049,1.5,12,0,0,0
4,selection,4,80633,81041,409,12548.612685359152,11806.823372247432,-5.911325273248636,-9.088345880661086,1.0,0.08801955990220049,1.5,12,0,0,0
4,selection,5,81042,81450,409,11806.823372247432,11138.146985810637,-5.663474123010548,-8.13783551395506,1.0,0.10268948655256724,1.5,14,0,0,0
5,selection,1,80019,80406,388,10000.0,10191.314542526516,1.9131454252651503,-2.2764064492390212,1.0,0.029639175257731958,0.5,12,0,0,0
5,selection,2,80407,80794,388,10191.314542526516,10223.423131722384,0.3150583672193008,-2.615214147403633,1.0,0.03865979381443299,0.5,15,0,0,0
5,selection,3,80795,81181,387,10223.423131722384,10140.851210123114,-0.8076739124986076,-2.192275812289768,1.0,0.031007751937984496,0.5,12,0,0,0
5,selection,4,81182,81568,387,10140.851210123114,10043.517846992092,-0.9598145275404368,-2.6920885800327032,1.0,0.028423772609819122,0.5,11,0,0,0
5,selection,5,81569,81955,387,10043.517846992092,10063.536615346307,0.19932028457749773,-1.350510094605628,1.0,0.031007751937984496,0.5,12,0,0,0
6,selection,1,80634,81012,379,10000.0,9908.730655781754,-0.9126934421824662,-3.9923601114780216,1.0,0.027704485488126648,0.5,11,0,0,0
6,selection,2,81013,81390,378,9908.730655781754,9729.76849451149,-1.8061058220998127,-2.235708282353699,1.0,0.03439153439153439,0.5,13,0,0,0
6,selection,3,81391,81768,378,9729.76849451149,9953.255525097557,2.2969408852033135,-0.8507708738394681,1.0,0.03439153439153439,0.5,13,0,0,0
6,selection,4,81769,82146,378,9953.255525097557,10022.468873795342,0.6953840230792929,-1.0821864125536873,1.0,0.023809523809523808,0.5,9,0,0,0
6,selection,5,82147,82524,378,10022.468873795342,9874.414790177705,-1.4772216854146425,-2.807267405128522,1.0,0.0291005291005291,0.5,11,0,0,0
7,selection,1,81249,81627,379,10000.0,9841.280311307923,-1.587196886920772,-4.506790291041851,1.0,0.06992084432717678,1.5,15,0,0,0
7,selection,2,81628,82005,378,9841.280311307923,9489.484920677782,-3.574691295256749,-4.73087672186574,1.0,0.07142857142857142,1.5,16,0,0,0
7,selection,3,82006,82383,378,9489.484920677782,9548.952707608025,0.6266703348741576,-2.3400877287567234,1.0,0.05026455026455026,1.5,12,0,0,0
7,selection,4,82384,82761,378,9548.952707608025,10656.95207180093,11.60336005549718,-3.244562033658227,1.0,0.05026455026455026,1.5,13,0,0,0
7,selection,5,82762,83139,378,10656.95207180093,10532.487087743299,-1.1679229034629368,-5.5321272588059855,1.0,0.05291005291005291,1.5,10,0,0,0
8,selection,1,81754,82132,379,10000.0,9861.842982626831,-1.3815701737316832,-1.9632040266053252,1.0,0.040897097625329816,0.5,16,0,0,0
8,selection,2,82133,82510,378,9861.842982626831,9943.642459949277,0.8294542659678106,-0.5457894578899558,1.0,0.042328042328042326,0.5,16,0,0,0
