window_id,selected,alpha_name,mode,k,gross,rebalance_every
1,cash,,,,,
2,cash,,,,,
3,cash,,,,,
4,cash,,,,,
5,cash,,,,,
6,cash,,,,,
7,cash,,,,,
8,cash,,,,,
9,cash,,,,,
10,alpha_policy,rev_96,short_only,1.0,0.5,24.0
11,alpha_policy,rev_96,short_only,1.0,1.0,24.0
12,cash,,,,,
13,cash,,,,,
14,cash,,,,,
15,alpha_policy,mom_96,short_only,3.0,1.0,24.0
16,cash,,,,,
17,cash,,,,,
18,cash,,,,,
19,cash,,,,,
