window_id,split,segment,start_row,end_row,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
1,selection,1,0,1005,1006,10000.0,9477.144667281182,-5.228553327188179,-6.037780522580483,0.9761431411530815,0.034956925402341736,0.48807157057654077,41,0,0,0
1,selection,2,1006,2010,1005,9477.144667281182,10611.773919761214,11.972268993605395,-6.991369770302002,1.0,0.038474295388406785,0.5,42,0,0,0
1,selection,3,2011,3015,1005,10611.773919761214,10379.030131266278,-2.1932599606322323,-5.201548811704615,1.0,0.037147595603667684,0.5,42,0,0,0
1,selection,4,3016,4020,1005,10379.030131266278,9827.475183133247,-5.314128017332765,-6.837718871107601,1.0,0.03648424572612516,0.5,42,0,0,0
1,selection,5,4021,5025,1005,9827.475183133247,9917.747905774664,0.9185749234589924,-2.5332038548812497,1.0,0.038805970297523994,0.5,42,0,0,0
2,selection,1,1623,2668,1046,10000.0,10185.356878025881,1.8535687802588185,-4.623619079537866,1.0,0.022466539196940728,0.5,24,0,0,0
2,selection,2,2669,3714,1046,10185.356878025881,9767.739172795895,-4.100177443276087,-6.464529099929351,1.0,0.02390057361376673,0.5,25,0,0,0
2,selection,3,3715,4760,1046,9767.739172795895,9877.089986298624,1.1195099661064134,-2.9389066605146175,1.0,0.02581261950286807,0.5,27,0,0,0
2,selection,4,4761,5806,1046,9877.089986298624,10106.731776349674,2.324994409989234,-2.598687352079865,1.0,0.02581261950286807,0.5,27,0,0,0
2,selection,5,5807,6851,1045,10106.731776349674,10397.929737146678,2.881227752362281,-6.253998391327054,1.0,0.023923444976076555,0.5,25,0,0,0
3,selection,1,3283,4328,1046,10000.0,10388.109184543358,3.881091845433593,-3.7278759527465732,1.0,0.024378585086042064,0.5,26,0,0,0
3,selection,2,4329,5374,1046,10388.109184543358,10247.051255572725,-1.357878767586651,-4.278827832842181,1.0,0.02676864244741874,0.5,28,0,0,0
3,selection,3,5375,6420,1046,10247.051255572725,10578.822847721527,3.2377274581150584,-5.879448125420506,1.0,0.022944550669216062,0.5,24,0,0,0
3,selection,4,6421,7466,1046,10578.822847721527,10401.076402005423,-1.6802100599915715,-2.3917507243844227,1.0,0.029636711281070746,0.5,31,0,0,0
3,selection,5,7467,8511,1045,10401.076402005423,10047.837686091316,-3.396174609831726,-4.503660550537447,1.0,0.023923444976076555,0.5,25,0,0,0
4,selection,1,5026,6055,1030,10000.0,10215.661211584706,2.1566121158470564,-2.7412613261899033,1.0,0.025728155339805825,0.5,27,0,0,0
4,selection,2,6056,7084,1029,10215.661211584706,10449.520246213531,2.289220734568076,-8.670985662337605,1.0,0.027210884353741496,0.5,28,0,0,0
4,selection,3,7085,8113,1029,10449.520246213531,10141.10449218806,-2.9514824294180175,-4.422543272141977,1.0,0.025267249757045675,0.5,26,0,0,0
4,selection,4,8114,9142,1029,10141.10449218806,9912.405963584277,-2.2551639102028287,-5.176366903141883,1.0,0.025267249757045675,0.5,26,0,0,0
4,selection,5,9143,10171,1029,9912.405963584277,9950.229330812248,0.3815760509297661,-5.2772937346699305,1.0,0.028182701652089408,0.5,29,0,0,0
5,selection,1,6852,7864,1013,10000.0,9791.214178848022,-2.0878582115197775,-2.960207618812316,1.0,0.025172754783856315,0.5,43,0,0,0
