reject_reason,windows,raw_profitable_windows,raw_losing_windows,avoided_loss_pct,missed_profit_pct,mean_raw_test_return_pct
decision_score,39,12,27,287.6535371602856,62.0929028364084,-5.783606008304545
catastrophic_regime_risk,19,6,13,182.91083240849116,51.49301503112617,-6.9167272303876315
