wall_time,latest_candle,validation_start,validation_end,action,cash,equity,pnl,return_pct,position_symbols,positions_json,position_values_json,target_symbols,target_weights_json,selected_alpha,selected_mode,selected_k,selected_gross,selected_rebalance_every,validation_return_pct,worst_validation_segment_return_pct,best_blocked_alpha,best_blocked_mode,trade_cost,turnover,total_cost,total_turnover,trade_count,trades_json,candidate_count,constraints_passed_count,decision_cache_hit,decision_elapsed_seconds,poll_elapsed_seconds,fetch_elapsed_seconds,fetch_parts,fetch_errors,fetch_rows,errors
2026-06-22T17:14:10,2026-06-22 16:40:00,2026-05-23 16:40:00,2026-06-22 16:40:00,rebalance,14995.0,9995.0,-5.0,-0.04999999999999449,SPBE,"{""SPBE"": -32.701111837802486}","{""SPBE"": -5000.0}",SPBE,"{""SPBE"": -0.5}",mom_48,short_only,1.0,0.5,24.0,25.29913155837984,1.655139016853524,mom_48,short_only,5.0,5000.0,5.0,5000.0,1,"[{""symbol"": ""SPBE"", ""price"": 152.9, ""delta_value"": -5000.0, ""delta_shares"": -32.701111837802486, ""target_weight"": -0.5, ""trade_cost"": 5.0}]",216,1,False,71.82571689999895,93.85302239999874,18.009902699966915,50.0,0.0,31197.0,
2026-06-22T17:15:49,2026-06-22 16:50:00,2026-05-23 16:50:00,2026-06-22 16:50:00,hold,14995.0,10021.160889470242,21.160889470242182,0.21160889470241973,SPBE,"{""SPBE"": -32.701111837802486}","{""SPBE"": -4973.839110529758}","CNRU,RNFT,SMLT","{""CNRU"": -0.3333333432674408, ""RNFT"": -0.3333333432674408, ""SMLT"": -0.3333333432674408}",voladj_mom_96,short_only,3.0,1.0,24.0,17.863443255981327,1.5944756713233366,mom_48,short_only,0.0,0.0,5.0,5000.0,0,[],216,2,False,73.27938169997651,82.62938150000991,5.0113298000069335,50.0,0.0,31247.0,
2026-06-22T17:17:12,2026-06-22 16:50:00,2026-05-23 16:50:00,2026-06-22 16:50:00,final_close,10016.187050359713,10016.187050359713,16.187050359712885,0.16187050359712796,,{},{},,{},,,,,,,,,,4.973839110529758,4973.839110529758,9.973839110529758,9973.839110529758,1,"[{""symbol"": ""SPBE"", ""price"": 152.1, ""delta_value"": 4973.839110529758, ""delta_shares"": 32.701111837802486, ""target_weight"": 0.0, ""trade_cost"": 4.973839110529758}]",0,0,,,,,,,,
