window_id,split,segment,start_row,end_row,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
1,selection,1,85084,85496,413,10000.0,10936.986130025603,9.369861300256034,-3.3236449913769617,1.0,0.07627118644067797,1.5,11,0,0,0
1,selection,2,85497,85909,413,10936.986130025603,11287.077381184361,3.2009846862440794,-6.327571485156646,1.0,0.07263922518159806,1.5,10,0,0,0
1,selection,3,85910,86322,413,11287.077381184361,13757.302307220318,21.885425629790035,-8.208347322394127,1.0,0.09443099273607748,1.5,13,0,0,0
1,selection,4,86323,86735,413,13757.302307220318,13628.757548129626,-0.9343747503696709,-17.73568136661553,1.0,0.05811138014527845,1.5,8,0,0,0
1,selection,5,86736,87147,412,13628.757548129626,13069.227376731676,-4.105511228165759,-8.590266536216596,1.0,0.06553398058252427,1.5,9,0,0,0
