period,variant,window_id,test_start,test_end,baseline_candidate,variant_candidate,candidate_changed,baseline_gate_pass,variant_gate_pass,baseline_selected,variant_selected,baseline_raw_test_return_pct,variant_raw_test_return_pct,raw_delta_pct,baseline_executed_test_return_pct,variant_executed_test_return_pct,executed_delta_pct,variant_diplom_available,variant_diplom_missing,variant_diplom_stale,variant_diplom_changed,variant_diplom_p_high,variant_diplom_long_p_high_exposure,variant_diplom_gross_reduction_pct,variant_gate_reject_reasons
broad_2022_2026_monthly,fresh_candidate_only,11,2023-10-26T09:50:00,2023-11-25T09:50:00,voladj_mom_96|short_only|1|0.5|24,mom_96|long_short|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,-12.05776837885072,-1.982082849604072,10.075685529246648,0.0,0.0,0.0,417,22,23,0,0.7901421160448072,0.2566702717983452,0.0,decision_score
broad_2022_2026_monthly,fresh_candidate_only,28,2025-03-19T09:50:00,2025-04-18T09:50:00,mom_96|short_only|3|0.5|24,voladj_mom_96|long_short|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,0.4482900343927287,-7.519865316571195,-7.968155350963924,0.0,0.0,0.0,630,12,0,0,0.8610291734121175,0.2649200081584788,0.0,decision_score
broad_2022_2026_monthly,fresh_candidate_only,39,2026-02-12T09:50:00,2026-03-14T09:50:00,voladj_mom_96|short_only|3|0.5|24,mom_96|long_short|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,-6.844418295783584,-3.920212025259695,2.9242062705238894,0.0,0.0,0.0,600,0,0,0,0.7218136771808215,0.279611925954319,0.0,decision_score
broad_2022_2026_monthly,fresh_combined,5,2023-04-29T09:50:00,2023-05-29T09:50:00,voladj_mom_96|long_only|3|0.5|24,voladj_mom_96|long_only|3|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-1.9890676139675436,-1.27960033546195,0.7094672785055935,0.0,0.0,0.0,189,0,0,189,0.8475069633545763,0.2337944953361432,10.84881727657621,decision_score
broad_2022_2026_monthly,fresh_combined,6,2023-05-29T09:50:00,2023-06-28T09:50:00,mom_48|long_only|1|0.5|24,mom_48|long_only|1|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,0.1143860510341765,0.0878947693452092,-0.02649128168896729,0.0,0.0,0.0,73,0,0,77,0.6847056376945992,0.338470459831463,8.887392200835764,decision_score
broad_2022_2026_monthly,fresh_combined,7,2023-06-28T09:50:00,2023-07-28T09:50:00,mom_48|long_only|1|0.5|24,voladj_mom_48|long_only|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,-2.325161749982452,1.3184547930061186,3.6436165429885707,0.0,0.0,0.0,231,0,0,231,0.8109008388906142,0.229018460444306,6.415739384564486,decision_score
broad_2022_2026_monthly,fresh_combined,8,2023-07-28T09:50:00,2023-08-27T09:50:00,mom_48|long_only|1|0.5|24,mom_48|long_only|1|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,1.1251098569181384,-0.0992560151525268,-1.2243658720706652,0.0,0.0,0.0,73,0,0,85,0.8007567942377193,0.2858260475040275,12.698612637715796,decision_score
broad_2022_2026_monthly,fresh_combined,9,2023-08-27T09:50:00,2023-09-26T09:50:00,mom_96|long_only|3|0.5|24,mom_96|long_only|3|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-9.135574320477613,-8.611376580314012,0.5241977401636007,0.0,0.0,0.0,219,0,0,219,0.8007567942377193,0.2444124927368593,7.571151648482231,decision_score
broad_2022_2026_monthly,fresh_combined,10,2023-09-26T09:50:00,2023-10-26T09:50:00,voladj_mom_96|long_only|1|0.5|24,voladj_mom_96|long_only|1|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-10.593953347768782,-10.134009609084629,0.45994373868415295,0.0,0.0,0.0,75,2,0,81,0.7176738465328246,0.2057183041990607,5.689865969992304,"decision_score,catastrophic_regime_risk"
broad_2022_2026_monthly,fresh_combined,11,2023-10-26T09:50:00,2023-11-25T09:50:00,voladj_mom_96|short_only|1|0.5|24,mom_96|long_short|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,-12.05776837885072,-1.6272014522478506,10.43056692660287,0.0,0.0,0.0,417,22,23,205,0.7901421160448072,0.2566702717983452,2.8780122856041053,decision_score
broad_2022_2026_monthly,fresh_combined,17,2024-04-23T09:50:00,2024-05-23T09:50:00,mom_48|long_only|1|0.5|24,mom_96|long_only|3|0.5|24,True,True,False,alpha_policy,cash_gate_veto,-0.4954212646312794,-3.088269885009287,-2.5928486203780077,-0.4954212646312794,0.0,0.4954212646312794,215,0,4,217,0.8033502198143726,0.2993599485946963,12.529938596568696,decision_score
broad_2022_2026_monthly,fresh_combined,18,2024-05-23T09:50:00,2024-06-22T09:50:00,mom_96|long_only|1|0.5|24,mom_96|long_only|1|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-4.167648633777732,-3.477353928466842,0.6902947053108903,0.0,0.0,0.0,73,0,0,83,0.8351291446557194,0.3786902393185606,21.91319604442544,"decision_score,catastrophic_regime_risk"
broad_2022_2026_monthly,fresh_combined,19,2024-06-22T09:50:00,2024-07-22T09:50:00,mom_96|long_only|1|1.5|24,mom_96|long_only|1|1.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-21.819106318882653,-20.69203282030769,1.127073498574962,0.0,0.0,0.0,70,0,0,71,0.6245042161443799,0.2537203584138335,6.390311490921747,"decision_score,catastrophic_regime_risk"
broad_2022_2026_monthly,fresh_combined,20,2024-07-22T09:50:00,2024-08-21T09:50:00,mom_96|long_only|1|0.5|24,mom_96|long_only|1|0.5|24,False,False,False,cash_gate_veto,cash_gate_veto,-16.212976458685514,-14.691601125433827,1.5213753332516866,0.0,0.0,0.0,73,3,0,83,0.786235366939328,0.3672758818047592,10.394833981990814,"decision_score,catastrophic_regime_risk"
broad_2022_2026_monthly,fresh_combined,21,2024-08-21T09:50:00,2024-09-20T09:50:00,mom_96|short_only|1|0.5|24,mom_96|long_short|1|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,21.225164238304693,8.182851337139162,-13.04231290116553,0.0,0.0,0.0,154,0,0,83,0.8077418167459598,0.3941525939296082,12.18432846007409,"decision_score,catastrophic_regime_risk"
broad_2022_2026_monthly,fresh_combined,28,2025-03-19T09:50:00,2025-04-18T09:50:00,mom_96|short_only|3|0.5|24,voladj_mom_96|long_short|3|0.5|24,True,False,False,cash_gate_veto,cash_gate_veto,0.4482900343927287,-6.469033317013384,-6.917323351406113,0.0,0.0,0.0,630,12,0,319,0.8610291734121175,0.2649200081584788,3.972990713386892,decision_score
