period,baseline,fresh_candidate_only,fresh_combined,fresh_gate_only,fresh_target_only,old_artifact_target_only
broad_2022_2026_monthly,0.0,0.0,0.4954212646312794,0.0,0.4954212646312794,0.0
default_2026,0.0,0.0,0.1514849081673439,0.0,0.1514849081673439,0.0
may_2026,0.0,0.0,0.0,0.0,0.0,0.0
y2025_full_year,0.0,0.0,0.6190142867889881,0.6190142867889881,0.0,0.0
ydex_transition,0.0,0.0,0.0,0.0,0.0,0.0
