period,variant,return_pct,final_equity,max_drawdown_pct,stress_return_pct,windows,trade_windows,cash_only_rate,trade_window_win_rate,worst_trade_window_test_return_pct,gate_veto_window_count,avoided_loss_pct,missed_profit_pct,diplom_changed_rebalance_decisions,diplom_available_rebalance_decisions,diplom_missing_rebalance_decisions,diplom_stale_rebalance_decisions,diplom_risk_weight_pct,diplom_candidate_score_penalty_pct,diplom_gate_penalty_pct,output_dir,return_pct_baseline,final_equity_baseline,max_drawdown_pct_baseline,stress_return_pct_baseline,trade_windows_baseline,cash_only_rate_baseline,return_pct_delta_vs_baseline,final_equity_delta_vs_baseline,max_drawdown_pct_delta_vs_baseline,stress_return_pct_delta_vs_baseline,trade_windows_delta_vs_baseline,cash_only_rate_delta_vs_baseline
default_2026,baseline,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,19,1,0.9473684210526316,0.0,-4.197525005726,18,64.53891450376932,11.147044396867956,0,0,0,0,0.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\baseline,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.0,0.0,0.0,0.0,0,0.0
default_2026,old_artifact_target_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,19,1,0.9473684210526316,0.0,-4.197525005726,18,64.53891450376932,11.147044396867956,0,0,562,232,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\old_artifact_target_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.0,0.0,0.0,0.0,0,0.0
default_2026,fresh_target_only,-4.046040097558656,9595.395990244137,-4.046040097558656,-8.659247938969727,19,1,0.9473684210526316,0.0,-4.046040097558656,18,61.06177045960548,11.147044396867956,316,860,0,0,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\fresh_target_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.1514849081673439,15.14849081673492,0.1514849081673439,0.4607310168235905,0,0.0
default_2026,fresh_candidate_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,19,1,0.9473684210526316,0.0,-4.197525005726,18,68.25174718265252,11.01098964672853,0,842,0,0,0.0,6.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\fresh_candidate_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.0,0.0,0.0,0.0,0,0.0
default_2026,fresh_gate_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,19,1,0.9473684210526316,0.0,-4.197525005726,18,64.53891450376932,11.147044396867956,0,794,0,0,0.0,0.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\fresh_gate_only,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.0,0.0,0.0,0.0,0,0.0
default_2026,fresh_combined,-4.046040097558656,9595.395990244137,-4.046040097558656,-8.659247938969727,19,1,0.9473684210526316,0.0,-4.046040097558656,18,55.66481921473181,11.01098964672853,422,856,0,0,25.0,6.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\default_2026\fresh_combined,-4.197525005726,9580.2474994274,-4.197525005726,-9.119978955793318,1,0.9473684210526316,0.1514849081673439,15.14849081673492,0.1514849081673439,0.4607310168235905,0,0.0
broad_2022_2026_monthly,baseline,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,42,1,0.9761904761904762,0.0,-0.4954212646312794,41,322.5487915082208,62.0929028364084,0,0,0,0,0.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\baseline,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.0,0.0,0.0,0.0,0,0.0
broad_2022_2026_monthly,old_artifact_target_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,42,1,0.9761904761904762,0.0,-0.4954212646312794,41,320.01980950229233,62.0929028364084,35,222,4864,432,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\old_artifact_target_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.0,0.0,0.0,0.0,0,0.0
broad_2022_2026_monthly,fresh_target_only,0.0,10000.0,0.0,0.0,42,0,1.0,0.0,0.0,42,303.68707898152564,61.21451244901445,2008,5529,62,27,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\fresh_target_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.4954212646312794,49.54212646312772,0.4954212646312794,5.402610720425615,-1,0.0238095238095238
broad_2022_2026_monthly,fresh_candidate_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,42,1,0.9761904761904762,0.0,-0.4954212646312794,41,317.06876502502143,61.64461280201567,0,6495,87,44,0.0,6.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\fresh_candidate_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.0,0.0,0.0,0.0,0,0.0
