run,return_pct,final_equity,max_drawdown_pct,trade_windows,window_count,cash_only_rate,avoided_loss_pct,missed_profit_pct,raw_loss_recall,diplom_changed_rebalance_decisions,diplom_available_rebalance_decisions,diplom_missing_rebalance_decisions,diplom_stale_rebalance_decisions
default_2026_baseline,-4.197525005726,9580.2474994274,-4.197525005726,1,19,0.9473684210526315,64.53891450376932,11.147044396867955,0.9333333333333333,0,0,0,0
default_2026_overlay,-4.197525005726,9580.2474994274,-4.197525005726,1,19,0.9473684210526315,64.53891450376932,11.147044396867955,0.9333333333333333,0,0,562,232
broad_monthly_baseline,-0.49542126463127945,9950.457873536872,-0.49542126463127945,1,42,0.9761904761904762,322.5487915082208,62.0929028364084,0.9666666666666667,0,0,0,0
broad_monthly_overlay,-0.49542126463127945,9950.457873536872,-0.49542126463127945,1,42,0.9761904761904762,320.01980950229233,62.0929028364084,0.9666666666666667,35,222,4864,432
may2026_baseline,0.0,10000.0,0.0,0,1,1.0,24.274329951605576,0.0,1.0,0,0,0,0
may2026_overlay,0.0,10000.0,0.0,0,1,1.0,24.274329951605576,0.0,1.0,0,0,89,17
