window_id,split,segment,start_row,end_row,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
1,gate,1,5026,5391,366,10000.0,10022.898255995751,0.2289825599575135,-1.2849847746373544,1.0,0.03688524622734778,0.5,16,0,0,0
1,gate,2,5392,5756,365,10022.898255995751,9978.358133182517,-0.44438366703553056,-1.424212249700063,1.0,0.037442922592163086,0.5,15,0,0,0
1,gate,3,5757,6121,365,9978.358133182517,9996.512475277435,0.1819371669427916,-2.961119774327714,1.0,0.03652968063746413,0.5,15,0,0,0
1,gate,4,6122,6486,365,9996.512475277435,10178.099551510753,1.8165042726891345,-1.9075683666030852,1.0,0.03561643860111498,0.5,15,0,0,0
1,gate,5,6487,6851,365,10178.099551510753,9985.608203669148,-1.8912307436905862,-2.1143867617211765,1.0,0.03652968071911433,0.5,16,0,0,0
2,gate,1,6852,7183,332,10000.0,9978.177639139016,-0.21822360860984658,-2.324316377469182,1.0,0.016566265060240965,0.5,6,0,0,0
2,gate,2,7184,7515,332,9978.177639139016,9875.245248470592,-1.0315750469772733,-1.7426236044557841,1.0,0.018072289156626505,0.5,6,0,0,0
2,gate,3,7516,7847,332,9875.245248470592,9883.275028253105,0.08131220623364133,-1.2551837553508527,1.0,0.030120481927710843,0.5,10,0,0,0
2,gate,4,7848,8179,332,9883.275028253105,9637.055038427421,-2.491279349424358,-4.457604268146675,1.0,0.02108433734939759,0.5,7,0,0,0
2,gate,5,8180,8511,332,9637.055038427421,9759.68646605997,1.2724989858785785,-1.7657259500362121,1.0,0.02108433734939759,0.5,7,0,0,0
3,gate,1,8512,8843,332,10000.0,10012.994692738002,0.12994692738002023,-1.5845184562042758,1.0,0.03162650602409638,0.5,11,0,0,0
3,gate,2,8844,9175,332,10012.994692738002,9877.80618322361,-1.350130641859204,-3.008037668048258,1.0,0.02710843373493976,0.5,9,0,0,0
3,gate,3,9176,9507,332,9877.80618322361,9997.941223646412,1.2162117599233468,-1.9102870560691376,1.0,0.02710843373493976,0.5,9,0,0,0
3,gate,4,9508,9839,332,9997.941223646412,10290.422543950493,2.9254154806624078,-2.9322498607038616,1.0,0.02710843373493976,0.5,9,0,0,0
