wall_time,price,equity,pnl,action,filter_pass,filter_fail_count,symbol,shares
2026-06-22 14:09:28,2742.0,9990.0,-10.0,enter_short,True,0,HEAD,-3.6469730123997084
2026-06-22 14:10:48,2744.0,9982.7060539752,-17.29394602479988,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:12:12,2743.0,9986.3530269876,-13.64697301240085,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:13:33,2745.0,9979.059080962801,-20.94091903719891,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:15:35,2748.0,9968.118161925602,-31.88183807439782,hold,False,1,HEAD,-3.6469730123997084
2026-06-22 14:16:55,2747.0,9971.765134938001,-28.23486506199879,hold,False,2,HEAD,-3.6469730123997084
2026-06-22 14:18:15,2748.0,9968.118161925602,-31.88183807439782,hold,False,3,HEAD,-3.6469730123997084
2026-06-22 14:19:36,2744.0,9982.7060539752,-17.29394602479988,hold,False,4,HEAD,-3.6469730123997084
2026-06-22 14:20:58,2742.0,9990.0,-10.0,hold,False,5,HEAD,-3.6469730123997084
2026-06-22 14:22:21,2741.0,9993.646973012399,-6.35302698760097,hold,False,6,HEAD,-3.6469730123997084
2026-06-22 14:23:46,2743.0,9986.3530269876,-13.64697301240085,hold,False,7,HEAD,-3.6469730123997084
2026-06-22 14:25:16,2741.0,9993.646973012399,-6.35302698760097,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:26:41,2744.0,9982.7060539752,-17.29394602479988,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:28:10,2745.0,9979.059080962801,-20.94091903719891,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:29:32,2742.0,9990.0,-10.0,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:31:38,2741.0,9993.646973012399,-6.35302698760097,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:32:58,2741.0,9993.646973012399,-6.35302698760097,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:34:24,2745.0,9979.059080962801,-20.94091903719891,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:35:51,2739.0,10000.940919037199,0.9409190371989098,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:38:10,2737.0,10008.234865061999,8.23486506199879,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:39:30,2736.0,10011.881838074398,11.88183807439782,hold,True,0,HEAD,-3.6469730123997084
2026-06-22 14:39:30,2736.0,10001.903719912472,1.9037199124722974,final_close,True,0,,0.0
