name,gross,filter_fail_exit_bars,stop_loss_pct,take_profit_pct,final_equity,pnl,return_pct,min_equity,max_drawdown_pct,actions
old_v1_gross4_hold_force_close,4.0,,,,10007.61487964989,7.61487964988919,0.07614879649888717,9872.472647702409,-0.8787886776866594,enter_short | final_close
v2_default_gross1_stop_no_filter_exit,1.0,,0.75,0.75,10001.903719912472,1.9037199124722974,0.019037199124727344,9968.118161925602,-0.21903741816213795,enter_short | final_close
v2_gross1_stop_exit_after_1_fail,1.0,1.0,0.75,0.75,9958.096280087528,-41.9037199124723,-0.4190371991247277,9958.096280087528,-0.31935655568040566,enter_short | exit_filter_fail
v2_gross1_stop_exit_after_3_fails,1.0,3.0,0.75,0.75,9958.096280087528,-41.9037199124723,-0.4190371991247277,9958.096280087528,-0.31935655568040566,enter_short | exit_filter_fail
v2_gross1_stop_exit_after_5_fails,1.0,5.0,0.75,0.75,9980.0,-20.0,-0.20000000000000018,9968.118161925602,-0.21903741816213795,enter_short | exit_filter_fail
v2_gross2_stop_no_filter_exit,2.0,,0.75,0.75,10003.807439824945,3.807439824944595,0.03807439824945469,9936.236323851204,-0.4385137890660862,enter_short | final_close
v2_gross4_stop_no_filter_exit,4.0,,0.75,0.75,9832.38512035011,-167.6148796498892,-1.6761487964988886,9832.38512035011,-1.2812738920671585,enter_short | close_stop_loss
