source_date,ticker,p_low,p_medium,p_high,feature_coverage,ret_20,ret_60,vol_20,downside_vol_60,max_drawdown_60,median_value_20,amihud_20,zero_volume_20,beta_60,corr_60,risk_score_internal,predicted_risk_class
2022-09-30,AFKS,0.1189682197545307,0.6241909908125421,0.2568407894329272,1.0,-0.2710580204778157,,0.6776204833637538,0.6378647746357848,-0.3297913697032525,431960092.70000005,3.295228257435972e-11,0.0,1.2095157796238212,0.9611601086191167,0.5962000000000001,medium
2022-09-30,AFLT,0.12106944034392118,0.7243424429963203,0.15458811665975847,1.0,-0.25258397932816534,,0.5582202562916261,0.519074789216736,-0.2687338501291989,281640430.1,5.6979086011036375e-11,0.0,1.0004130791672496,0.8570773319121379,0.5305500000000001,medium
2022-09-30,ALRS,0.18776151479693762,0.6910226620429661,0.12121582316009637,1.0,-0.1917272972244678,,0.5934940687470405,0.48296125375920856,-0.24949031600407756,765618934.45,2.535624952806735e-11,0.0,1.027959399271806,0.9191064738686062,0.4453000000000001,medium
2022-09-30,BSPB,0.2072711832138147,0.671845228802894,0.12088358798329134,1.0,-0.21336053034166247,,0.4487322826888494,0.42195856106076024,-0.2135645079041305,30560079.349999998,3.1837222968026204e-10,0.0,0.7168485342369171,0.7406240836506542,0.4326,medium
2022-09-30,CBOM,0.7428578315249844,0.19834435416786267,0.05879781430715293,1.0,0.011553716157958194,,0.22874532633271336,0.1258918956974795,-0.056397718011409914,592322953.3499999,1.6586193790926524e-11,0.0,0.32630586386996946,0.6789607856836101,0.18295,low
2022-09-30,CHMF,0.12100972772552321,0.6774738381903638,0.20151643408411302,1.0,-0.19679752066115697,,0.670633472441261,0.5912902115605277,-0.27218045112781963,517947656.1,3.427534682546827e-11,0.0,1.136071707554083,0.8886314314099129,0.5637500000000001,medium
2022-09-30,ENPG,0.05687163981172911,0.1895772883178012,0.7535510718704697,1.0,-0.35171102661596954,,0.8581811115523857,0.6614554843206771,-0.3939670932358318,69539436.75,2.9584699660503833e-10,0.0,1.3708946050752304,0.866081996418867,0.8230000000000001,high
2022-09-30,FEES,0.1195926680609979,0.6363772423203045,0.24403008961869765,1.0,-0.18572621035058423,,0.6019778516246115,0.45746414561141047,-0.26593449696018834,85190751.80000001,1.468649413444628e-10,0.0,1.0056171422880256,0.9081341827818102,0.5891500000000002,medium
2022-09-30,FLOT,0.11677634110874356,0.5899633939815003,0.29326026490975604,1.0,-0.28249400479616305,,0.5376148448477712,0.49066494399819516,-0.3033760186263097,44360383.25,3.234016476408654e-10,0.0,0.82024591215929,0.8282606293126743,0.6151,medium
2022-09-30,GAZP,0.36035090326109864,0.5282545596057268,0.11139453713317454,1.0,-0.1388449367088609,,0.6215124480538065,0.47420646998176513,-0.185126582278481,11119058437.25,1.1765569424917572e-12,0.0,0.896126976296883,0.7786879822164448,0.35325,medium
2022-09-30,GMKN,0.12708559319996848,0.752846097900841,0.12006830889919055,1.0,-0.2560611489310881,,0.4551201152903055,0.36084239858425143,-0.27423529411764713,15597846.61,1.1696086937870099e-09,0.0,0.7732855984670479,0.910256679075716,0.4929,medium
2022-09-30,HYDR,0.48602537971092746,0.4162395118266746,0.09773510846239804,1.0,-0.13986797857765598,,0.3069911693911097,0.2852892685175541,-0.1612742658038825,116639984.4,6.404294734236157e-11,0.0,0.519903857843418,0.9142151639956618,0.2995,low
2022-09-30,IRAO,0.16770946322842756,0.7110431355038115,0.12124740126776089,1.0,-0.20326958667489203,,0.5327577461601776,0.4629124868515322,-0.24528301886792447,250321715.0,6.762228526118364e-11,0.0,0.9402591193755777,0.9453127471845509,0.45945,medium
2022-09-30,LKOH,0.5502475519645292,0.36045541421404165,0.0892970338214292,1.0,-0.13710554951033738,,0.4818791653743939,0.41830694780703,-0.2147395171537484,3049506045.0,4.5525537259495005e-12,0.0,0.7412468096313075,0.8281420883364168,0.27270000000000005,low
2022-09-30,MAGN,0.12118009117054507,0.7176469936667766,0.16117291516267832,1.0,-0.19200000000000006,,0.6313503674976191,0.5008501945203389,-0.2560855263157895,488727138.65,4.2689577758592384e-11,0.0,1.0028489450965121,0.8524804877450685,0.5356500000000001,medium
2022-09-30,MGNT,0.48230132240271995,0.419502325308141,0.098196352289139,1.0,-0.1391851244189226,,0.5312764134563062,0.4176348698955146,-0.20107142857142857,799597034.75,2.0515071178997673e-11,0.0,0.7770681347931494,0.786824964949839,0.30105,low
2022-09-30,MOEX,0.4049746459930596,0.48800441974207537,0.107020934264865,1.0,-0.1973299958281185,,0.4713748370325341,0.4064597858865992,-0.2061426340447683,373303205.8,3.986350560541882e-11,0.0,0.786086590292117,0.9047969544594764,0.33365,medium
2022-09-30,MTLR,0.09024661622079701,0.36640750039899234,0.5433458833802107,1.0,-0.36697819314641744,,0.760718540916443,0.6831108610193803,-0.38818216033120057,267504524.43,6.470163363083583e-11,0.0,1.1172525027682578,0.7863986393098731,0.7244,high
2022-09-30,MTSS,0.47689838429282266,0.42424174131044956,0.09885987439672768,1.0,-0.20245526425301708,,0.42323927882823476,0.3620386891806001,-0.24629324546952225,293891328.0,3.323801152457791e-11,0.0,0.6562916478693415,0.8423672962958998,0.3033,low
2022-09-30,NLMK,0.10763256773131982,0.49330284525128215,0.399064587017398,1.0,-0.306938775510204,,0.8256804182254903,0.6880189846782657,-0.3865079365079366,740595823.4000001,2.8186483619988116e-11,0.0,1.4163275617735118,0.9092147848443746,0.6638000000000002,medium
2022-09-30,NVTK,0.18025940962247422,0.6984733173077838,0.12126727306974198,1.0,-0.15651114206128125,,0.6434126988901726,0.4861796966493259,-0.250125313283208,1755801983.0,9.7804381437888e-12,0.0,1.0017565593695164,0.8462893169297897,0.4504500000000001,medium
2022-09-30,OZON,0.09677246898791936,0.4095104994095301,0.4937170316025505,1.0,-0.3028192371475954,,0.8451723670946003,0.725667868391789,-0.3516086671043992,365684906.0,5.4831390670338917e-11,0.0,1.4528434406328063,0.9343829010209953,0.7037,high
2022-09-30,PHOR,0.5711713076130617,0.34247175186483353,0.08635694052210476,1.0,-0.21078983602453372,,0.4599571775583591,0.38800090103565343,-0.22666503127683058,1074112987.5,1.8733409653143672e-11,0.0,0.4543529659339087,0.5361064831338664,0.26385,low
2022-09-30,PIKK,0.10676551052484277,0.4858184231690939,0.40741606630606314,1.0,-0.2725260416666666,,0.7781457759294022,0.6239369843741678,-0.3638708092840476,521930868.0,5.985283634572533e-11,0.0,1.25056558675999,0.873159252915808,0.6674000000000001,medium
2022-09-30,PLZL,0.10382260641723362,0.4616392469213499,0.43453814666141655,1.0,-0.4010861132660978,,0.5723009310774153,0.5446164381894664,-0.4010861132660978,101979883.1,1.4069536342699263e-10,0.0,0.9609355000819297,0.8910594554010297,0.6789500000000002,medium
2022-09-30,POSI,0.21559383399465204,0.6637438051088045,0.12066236089654343,1.0,-0.17049180327868851,,0.5060260537258368,0.367667663595273,-0.24870081662954713,174047902.0,1.2074748308629132e-10,0.0,0.7243323310887301,0.7771694150974041,0.42745,medium
2022-09-30,RNFT,0.07560169529811611,0.2815693307073558,0.6428289739945281,1.0,-0.15601023017902815,,1.10841042721754,0.637557287288949,-0.37618147448015116,102629023.19999999,1.6296662159372449e-10,0.0,1.0480902977965045,0.5046726263571886,0.7675500000000002,high
2022-09-30,ROSN,0.12014069764790547,0.7514190882242486,0.128440214127846,1.0,-0.31433393923656194,,0.5977232102357836,0.5632290104147661,-0.33510776421708643,2176997157.65,7.966294606905006e-12,0.0,1.0890058980753046,0.9532865562414825,0.50835,medium
2022-09-30,RTKM,0.36907102308338346,0.5203434633609267,0.1105855135556898,1.0,-0.12423591607467377,,0.37206336228051184,0.2791208075953344,-0.17044005102040816,90708205.1,1.6335838253960528e-10,0.0,0.566777621604438,0.8171343374316348,0.34935,medium
2022-09-30,RUAL,0.11988957570992159,0.7561737038001488,0.12393672048992957,1.0,-0.31646464646464645,,0.532355029540421,0.47928137297517104,-0.33427079148252314,294288771.5,5.570192305957833e-11,0.0,0.9601323780145822,0.9569200448722395,0.50415,medium
2022-09-30,SBER,0.21756719960417759,0.6618293653919483,0.12060343500387419,1.0,-0.23358831710709327,,0.5780581291148176,0.49841723336948346,-0.25549374130737135,9308592631.2,1.954462773817013e-12,0.0,1.0305437840639882,0.9241124478256029,0.4262499999999999,medium
2022-09-30,SGZH,0.18783550350246833,0.6909494031514072,0.12121509334612449,1.0,-0.33988375311375596,,0.4689363561292018,0.45351105653545215,-0.3447802197802199,272118075.05,3.644552844262965e-11,0.0,0.7458920176235218,0.8597047307394516,0.44525000000000003,medium
2022-09-30,SIBN,0.2272014184753011,0.652516828792207,0.12028175273249206,1.0,-0.19914903675688456,,0.5004365298168457,0.3913721191407758,-0.23729969314694843,180851539.5,1.2467348956448727e-10,0.0,0.7718499605806673,0.8125424547275777,0.4205,medium
2022-09-30,SMLT,0.08936275844450796,0.3608650346455563,0.5497722069099358,1.0,-0.332108626198083,,0.7545804073677322,0.6436404894842986,-0.39265406485323495,209499329.75,7.487525613875495e-11,0.0,1.058282018419391,0.7564038372131323,0.7271000000000001,high
2022-09-30,SNGS,0.10770370992007369,0.4939251711781047,0.3983711189018216,1.0,-0.3421629521373768,,0.7439534634698337,0.7423765483081184,-0.36609426379247345,614551450.0,3.8473191846126904e-11,0.0,1.4182062948201832,0.9318690462772111,0.6635000000000001,medium
2022-09-30,SPBE,0.05524431697338708,0.18228392061181975,0.7624717624147931,1.0,-0.3933782267115601,,1.436483477028127,0.7290606979251852,-0.5117449664429531,234982164.3,1.3568257378584505e-10,0.0,1.3749581736202092,0.519657713055708,0.8281000000000001,high
2022-09-30,T,0.06601749873877524,0.23255339144570492,0.7014291098155199,1.0,-0.1418760166275076,,1.0617237958467118,0.8967557262505552,-0.339711417816813,128512152.1,2.7688555999268455e-10,0.0,1.8140552945642308,0.9281488056205216,0.7954,high
2022-09-30,TATN,0.12019436159606633,0.7503277510569272,0.1294778873470065,1.0,-0.19693945442448424,,0.5773436396551012,0.4593497250416322,-0.2517891997397528,287726190.1,7.501985587053892e-11,0.0,0.9995487262545387,0.9266601934207113,0.5093,medium
