cost_bps,split,initial_cash,final_equity,pnl,return_pct,max_drawdown_pct,sharpe_like,bars,active_rate,avg_turnover_per_bar,total_turnover,mean_gross_exposure
5.0,test,10000.0,14604.269573412208,4604.269573412208,46.04269573412208,-18.185426568333796,6.867477063929508,620,0.4258064516129032,0.14193548387096774,88.0,1.7032258064516128
10.0,test,10000.0,13967.832957861086,3967.8329578610865,39.67832957861086,-18.53643676522828,6.097812388777996,620,0.4258064516129032,0.14193548387096774,88.0,1.7032258064516128
20.0,test,10000.0,12771.587942670363,2771.587942670363,27.715879426703637,-19.655057631379147,4.568672219552334,620,0.4258064516129032,0.14193548387096774,88.0,1.7032258064516128
30.0,test,10000.0,11671.174761196857,1671.1747611968567,16.711747611968562,-21.640887464659354,3.0778364463775585,620,0.4258064516129032,0.14193548387096774,88.0,1.7032258064516128
