variant,initial_cash,final_equity,pnl,return_pct,min_equity,max_equity,min_return_pct,max_return_pct,rows,rebalance_count,target_change_rebalance_count,session_loss_stop_count,stale_signal_count,stale_signal_cash_count,close_stale_signal_count,cash_count,hold_count,total_cost,total_turnover,interval_minutes,rebalance_on_target_change,target_change_tolerance,max_session_loss_pct,max_signal_age_minutes
baseline_like,10000.0,9814.939167046672,-185.06083295332792,-1.8506083295332765,9801.578395545683,10047.800803320803,-1.9842160445431745,0.47800803320803276,26,1,0,0,0,0,0,1,24,30.154905927026302,30154.905927026302,10.0,False,0.05,,
target_change,10000.0,9864.791523300699,-135.20847669930117,-1.3520847669930114,9856.02238842363,10047.800803320803,-1.4397761157637023,0.47800803320803276,26,1,2,0,0,0,0,0,23,30.105103373325978,30105.103373325976,10.0,True,0.05,,
loss_stop,10000.0,9843.44851513929,-156.55148486071084,-1.565514848607108,9843.44851513929,10047.800803320803,-1.565514848607108,0.47800803320803276,26,1,0,1,0,0,0,0,13,30.126425059800916,30126.425059800913,10.0,False,0.05,1.0,
target_change_loss_stop,10000.0,9883.7435113798,-116.25648862019989,-1.162564886202,9883.7435113798,10047.800803320803,-1.162564886202,0.47800803320803276,26,1,1,1,0,0,0,0,12,30.086170318301896,30086.170318301898,10.0,True,0.05,1.0,
signal_age_gate,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,26,0,0,0,26,26,0,0,0,0.0,0.0,10.0,False,0.05,,10.0
full_live_safety,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,26,0,0,0,26,26,0,0,0,0.0,0.0,10.0,True,0.05,1.0,10.0
